,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,28.5,25.4,83,1007.86,E,3.7,7.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
1,12 ก.ย. 65 16:00 น.,30.6,24.5,70,1007.28,W,3.7,7.00,ไม่มีฝน,มีเมฆบางส่วน
2,12 ก.ย. 65 13:00 น.,29.5,24.5,75,1009.16,ลมสงบ,ลมสงบ,7.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
3,12 ก.ย. 65 10:00 น.,27.0,24.4,86,1010.94,ลมสงบ,ลมสงบ,7.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
4,12 ก.ย. 65 07:00 น.,25.5,24.0,92,1009.25,ลมสงบ,ลมสงบ,7.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
5,12 ก.ย. 65 04:00 น.,26.4,25.0,92,1008.13,ลมสงบ,ลมสงบ,7.00,ไม่มีฝน,มีเมฆบางส่วน
6,12 ก.ย. 65 01:00 น.,27.5,25.8,90,1009.17,ลมสงบ,ลมสงบ,7.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
7,11 ก.ย. 65 22:00 น.,28.6,26.4,88,1009.52,ลมสงบ,ลมสงบ,8.00,ไม่มีฝน,ท้องฟ้าโปร่ง
