,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,26.8,24.8,89,1007.38,ลมสงบ,ลมสงบ,5.00,ไม่มีฝน,มีเมฆมาก
1,12 ก.ย. 65 16:00 น.,29.0,24.3,76,1006.04,SW,3.7,7.00,ไม่มีฝน,มีเมฆมาก
2,12 ก.ย. 65 13:00 น.,30.5,25.4,74,1008.92,ลมสงบ,ลมสงบ,7.00,8.5,มีเมฆเป็นส่วนมาก
3,12 ก.ย. 65 10:00 น.,26.2,24.8,92,1010.82,ลมสงบ,ลมสงบ,5.00,4.8,มีเมฆเป็นส่วนมาก
4,12 ก.ย. 65 07:00 น.,25.4,25.2,99,1009.45,ลมสงบ,ลมสงบ,.08,ไม่มีฝน,มีเมฆบางส่วน
5,12 ก.ย. 65 04:00 น.,25.5,25.1,97,1009.29,ลมสงบ,ลมสงบ,4.00,ไม่มีฝน,มีเมฆบางส่วน
6,12 ก.ย. 65 01:00 น.,25.7,24.7,94,1010.20,ลมสงบ,ลมสงบ,6.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
7,11 ก.ย. 65 22:00 น.,26.2,25.3,95,1010.40,ลมสงบ,ลมสงบ,6.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
