,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,29.2,25.2,79,1007.26,SSE,3.7,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
1,12 ก.ย. 65 16:00 น.,31.1,25.0,70,1005.40,W,3.7,10.00,ไม่มีฝน,มีเมฆมาก
2,12 ก.ย. 65 13:00 น.,31.4,24.1,65,1008.28,SW,5.6,10.00,ไม่มีฝน,มีเมฆมาก
3,12 ก.ย. 65 10:00 น.,29.9,24.5,73,1009.80,W,7.4,10.00,ไม่มีฝน,มีเมฆมาก
4,12 ก.ย. 65 07:00 น.,26.0,24.6,92,1008.68,ลมสงบ,ลมสงบ,9.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
5,12 ก.ย. 65 04:00 น.,26.2,25.2,94,1008.03,SE,5.6,9.00,ฝนเล็กน้อย,มีเมฆมาก
6,12 ก.ย. 65 01:00 น.,26.5,25.1,92,1009.26,W,3.7,8.00,0.2,มีเมฆเต็มท้องฟ้า
7,11 ก.ย. 65 22:00 น.,28.8,25.2,81,1009.36,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
