,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,26.4,23.6,85,1008.04,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆบางส่วน
1,12 ก.ย. 65 16:00 น.,29.1,22.6,68,1006.87,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
2,12 ก.ย. 65 13:00 น.,27.6,24.4,83,1008.77,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
3,12 ก.ย. 65 10:00 น.,24.7,21.8,84,1011.61,ลมสงบ,ลมสงบ,8.00,0.2,มีเมฆมาก
4,12 ก.ย. 65 07:00 น.,25.2,24.5,96,1009.82,ลมสงบ,ลมสงบ,8.00,ไม่มีฝน,มีเมฆมาก
5,12 ก.ย. 65 04:00 น.,24.8,23.8,94,1009.09,ลมสงบ,ลมสงบ,9.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
6,12 ก.ย. 65 01:00 น.,25.5,24.6,95,1009.26,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆบางส่วน
7,11 ก.ย. 65 22:00 น.,26.5,25.4,93,1010.05,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆบางส่วน
