,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,28.2,24.3,80,1007.10,SW,7.4,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
1,12 ก.ย. 65 16:00 น.,32.1,24.9,66,1005.10,SSW,7.4,12.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
2,12 ก.ย. 65 13:00 น.,30.2,23.9,69,1007.52,W,9.3,11.00,ไม่มีฝน,ท้องฟ้าโปร่ง
3,12 ก.ย. 65 10:00 น.,29.7,24.4,73,1010.13,SE,7.4,11.00,ไม่มีฝน,มีเมฆบางส่วน
4,12 ก.ย. 65 07:00 น.,26.0,24.6,92,1009.24,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
5,12 ก.ย. 65 04:00 น.,25.5,25.2,98,1008.19,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆมาก
6,12 ก.ย. 65 01:00 น.,26.0,25.3,96,1008.80,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
7,11 ก.ย. 65 22:00 น.,27.0,26.1,95,1009.64,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
