,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,27.5,23.1,77,1007.66,NW,5.6,12.00,ไม่มีฝน,มีเมฆบางส่วน
1,12 ก.ย. 65 16:00 น.,31.8,23.1,60,1006.12,S,9.3,15.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
2,12 ก.ย. 65 13:00 น.,32.2,22.9,58,1008.61,SSW,5.6,15.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
3,12 ก.ย. 65 10:00 น.,30.1,23.9,70,1010.45,NE,3.7,15.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
4,12 ก.ย. 65 07:00 น.,25.7,24.7,94,1009.47,ลมสงบ,ลมสงบ,13.00,ไม่มีฝน,ท้องฟ้าโปร่ง
5,12 ก.ย. 65 04:00 น.,25.2,24.3,95,1008.41,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆมาก
6,12 ก.ย. 65 01:00 น.,25.6,24.7,95,1009.61,E,1.9,12.00,ไม่มีฝน,มีเมฆบางส่วน
7,11 ก.ย. 65 22:00 น.,26.2,24.8,92,1009.70,SSE,1.9,12.00,ไม่มีฝน,ท้องฟ้าโปร่ง
