,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,25.9,23.6,87,1008.84,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆมาก
1,12 ก.ย. 65 16:00 น.,27.0,23.5,81,1007.50,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
2,12 ก.ย. 65 13:00 น.,32.3,25.9,69,1008.61,SSW,7.4,10.00,ไม่มีฝน,มีเมฆบางส่วน
3,12 ก.ย. 65 10:00 น.,29.7,25.6,79,1010.35,WNW,5.6,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
4,12 ก.ย. 65 07:00 น.,24.7,24.4,98,1009.15,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
5,12 ก.ย. 65 04:00 น.,25.2,24.6,97,1008.80,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
6,12 ก.ย. 65 01:00 น.,25.6,24.7,95,1009.78,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
7,11 ก.ย. 65 22:00 น.,26.3,24.6,90,1010.20,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
