,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,27.8,24.3,82,1007.40,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
1,12 ก.ย. 65 16:00 น.,32.1,24.2,63,1005.47,W,1.9,10.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
2,12 ก.ย. 65 13:00 น.,31.1,23.6,64,1008.24,SSW,3.7,10.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
3,12 ก.ย. 65 10:00 น.,30.1,25.0,74,1010.24,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
4,12 ก.ย. 65 07:00 น.,25.0,24.6,97,1008.87,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
5,12 ก.ย. 65 04:00 น.,24.5,23.5,94,1008.20,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
6,12 ก.ย. 65 01:00 น.,24.8,23.6,93,1009.42,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
7,11 ก.ย. 65 22:00 น.,26.7,25.7,94,1009.94,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
