,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,29.5,23.7,71,1005.64,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
1,12 ก.ย. 65 16:00 น.,33.0,21.1,50,1004.38,NNE,5.6,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
2,12 ก.ย. 65 13:00 น.,32.0,24.1,63,1007.70,N,5.6,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
3,12 ก.ย. 65 10:00 น.,30.0,24.3,71,1010.32,E,9.3,10.00,ไม่มีฝน,มีเมฆบางส่วน
4,12 ก.ย. 65 07:00 น.,25.5,24.0,92,1008.77,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
5,12 ก.ย. 65 04:00 น.,24.7,23.7,94,1007.58,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
6,12 ก.ย. 65 01:00 น.,25.5,23.7,90,1008.41,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
7,11 ก.ย. 65 22:00 น.,26.5,24.3,88,1008.76,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
