,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,25.4,23.3,88,1007.77,W,7.4,10.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
1,12 ก.ย. 65 16:00 น.,27.3,22.7,76,1006.14,W,11.1,10.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
2,12 ก.ย. 65 13:00 น.,30.2,22.9,65,1008.07,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
3,12 ก.ย. 65 10:00 น.,28.0,22.9,74,1010.01,NNW,7.4,10.00,0.8,มีเมฆมาก
4,12 ก.ย. 65 07:00 น.,22.5,21.7,95,1009.83,SE,1.9,4.00,14.0,
5,12 ก.ย. 65 04:00 น.,23.3,22.8,97,1008.88,E,1.9,4.00,ไม่มีฝน,มีเมฆเต็มท้องฟ้า
6,12 ก.ย. 65 01:00 น.,23.7,23.3,97,1009.96,E,1.9,6.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
7,11 ก.ย. 65 22:00 น.,24.1,23.5,97,1010.50,E,1.9,6.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
