,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,12 ก.ย. 65 19:00 น.,26.2,25.3,95,1007.74,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
1,12 ก.ย. 65 16:00 น.,27.0,24.5,87,1006.37,ลมสงบ,ลมสงบ,10.00,13.1,มีเมฆมาก
2,12 ก.ย. 65 13:00 น.,25.2,24.2,94,1009.51,SSW,13.0,3.00,23.2,มีเมฆเต็มท้องฟ้า
3,12 ก.ย. 65 10:00 น.,30.3,24.6,72,1010.29,E,5.6,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
4,12 ก.ย. 65 07:00 น.,24.8,23.8,94,1009.51,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
5,12 ก.ย. 65 04:00 น.,24.1,23.9,99,1008.51,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,ท้องฟ้าแจ่มใส
6,12 ก.ย. 65 01:00 น.,25.4,24.2,93,1009.95,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,ท้องฟ้าโปร่ง
7,11 ก.ย. 65 22:00 น.,26.1,24.9,93,1009.95,E,3.7,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
