,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,33.1,25.7,SE,14.83,14:13,0.1,"1,101.5",2022-08-25,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,33.5,25.2,WNW,22.24,12:04,0,"1,421.3",2022-08-25,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,33.2,24.9,SSW,31.51,15:21,10.0,"2,027.0",2022-08-25,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),30.9,24.4,WSW,27.80,03:25,51.9,"1,561.3",2022-08-25,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,31.3,24.3,WSW,20.39,11:15,55.0,"2,635.9",2022-08-25,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,31.6,25.0,W,22.24,15:15,15.4,"2,781.0",2022-08-25,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,33.8,26.2,W,33.36,17:31,1.9,"1,267.2",2022-08-25,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,31.0,23.0,SW,44.48,13:10,105.8,"1,655.6",2022-08-25,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,34.6,25.0,WNW,22.24,17:20,0,"1,529.1",2022-08-25,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,32.1,24.5,WSW,18.53,13:35,3.9,"1,544.1",2022-08-25,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,33.0,24.3,WSW,29.65,14:00,0,"1,054.2",2022-08-25,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,32.8,23.7,W,33.36,15:41,19.6,"1,640.8",2022-08-25,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,34.2,25.0,E,27.80,18:19,14.6,"1,334.5",2022-08-25,105.0,67.0,ยะลา,48581.0,Yala
13,north,เชียงราย,29.8,24.0,WSW,18.53,15:20,0,"1,480.7",2022-08-25,0.0,1.0,เชียงราย,48303.0,Chiang Rai
14,north,เชียงใหม่,26.3,23.5,N,14.83,07:59,3.7,"1,167.8",2022-08-25,2.0,2.0,เชียงใหม่,48327.0,Chiang Mai
15,north,ลำปาง,28.2,22.5,SSW,22.24,20:23,29.8,800.5,2022-08-25,24.0,13.0,ลำปาง,48328.0,Lampang
16,north,ลำพูน,27.4,22.5,S,18.53,13:00,15.1,908.3,2022-08-25,23.0,12.0,ลำพูน,48329.0,Lamphun
17,north,น่าน,30.4,23.5,SSE,7.41,14:24,0,"1,098.5",2022-08-25,12.0,5.0,น่าน,48331.0,Nan
18,north,พะเยา,29.8,22.2,SE,14.83,13:39,0,"1,014.4",2022-08-25,22.0,11.0,พะเยา,48310.0,Phayao
19,north,แพร่,30.1,21.6,E,11.12,13:45,2.2,867.7,2022-08-25,27.0,14.0,แพร่,48330.0,Phrae
20,north,พิษณุโลก,32.1,23.8,W,20.39,13:20,1.3,"1,058.4",2022-08-25,17.0,7.0,พิษณุโลก,48378.0,Phitsanulok
21,north,สุโขทัย,32.8,22.9,S,22.24,20:10,1.0,818.7,2022-08-25,20.0,10.0,สุโขทัย,48372.0,Sukhothai
22,north,อุตรดิตถ์,32.1,25.0,SE,14.83,17:22,0.1,958.2,2022-08-25,16.0,6.0,อุตรดิตถ์,48351.0,Uttaradit
23,middle,กาญจนบุรี,35.0,26.7,NW,18.53,16:38,0,736.9,2022-08-25,61.0,35.0,กาญจนบุรี,48450.0,Kanchanaburi
24,north,กำแพงเพชร,31.3,22.9,N,40.77,01:19,2.6,"1,158.1",2022-08-25,18.0,8.0,กำแพงเพชร,48380.0,Kamphaeng Phet
25,north,พิจิตร สกษ.,30.4,24.1,SE,16.68,03:13,0,876.7,2022-08-25,19.0,9.0,พิจิตร,48386.0,Phichit
26,north,เพชรบูรณ์,31.5,25.1,SSE,11.12,15:20,25.1,839.8,2022-08-25,28.0,15.0,เพชรบูรณ์,48379.0,Phetchabun
27,middle,สุพรรณบุรี,33.0,24.1,W,20.39,18:18,20.7,820.9,2022-08-25,69.0,38.0,สุพรรณบุรี,48425.0,Suphan Buri
28,north,ตาก,33.0,23.4,W,31.51,17:12,0,619.5,2022-08-25,7.0,4.0,ตาก,48376.0,Tak
29,middle,อุทัยธานี,31.5,24.8,NW,37.07,00:00,11.4,973.3,2022-08-25,78.0,48.0,อุทัยธานี,48410.0,Uthai Thani
30,,,,,,,,,,,,,,,Ang Thong
31,middle,ชัยนาท สกษ.,31.6,22.7,SSW,35.21,18:25,8.1,885.7,2022-08-25,71.0,39.0,ชัยนาท,48402.0,Chai Nat
32,middle,ลพบุรี,32.5,24.0,SSE,18.53,10:35,58.5,639.8,2022-08-25,72.0,40.0,ลพบุรี,48426.0,Lop Buri
33,east,นครนายก,23.6,18.2,WNW,11.12,04:35,58.3,"2,583.3",2022-08-25,93.0,60.0,นครนายก,48417.0,Nakhon Nayok
34,east,ปราจีนบุรี,31.3,24.5,W,7.41,22:30,183.2,"1,389.3",2022-08-25,87.0,56.0,ปราจีนบุรี,48430.0,Prachin Buri
35,middle,นครสวรรค์,31.0,23.3,NW,16.68,18:10,16.6,"1,069.4",2022-08-25,63.0,36.0,นครสวรรค์,48400.0,Nakhon Sawan
36,middle,พระนครศรีอยุธยา,32.1,24.8,SSW,25.95,20:10,47.5,718.4,2022-08-25,74.0,41.0,พระนครศรีอยุธยา,48415.0,Phra Nakhon Si Ayutthaya
37,middle,ปทุมธานี สกษ.,31.8,27.3,W,11.12,14:01,29.6,"1,061.9",2022-08-25,76.0,43.0,ปทุมธานี,48419.0,Pathum Thani
38,,,,,,,,,,,,,,,Sing Buri
39,,,,,,,,,,,,,,,Saraburi
40,middle,กรุงเทพมหานคร,31.2,27.8,WSW,27.80,20:21,2.5,"1,324.4",2022-08-25,65.0,37.0,กรุงเทพมหานคร,48455.0,Bangkok Metropolis
41,,,,,,,,,,,,,,,Nonthaburi
42,middle,นครปฐม,34.0,26.0,WSW,22.24,19:25,0.9,560.8,2022-08-25,79.0,50.0,นครปฐม,48451.0,Nakhon Pathom
43,west,เพชรบุรี,33.3,22.5,,,,10.8,602.3,2022-08-25,107.0,70.0,เพชรบุรี,48465.0,Phetchaburi
44,west,หัวหิน,32.8,26.7,W,22.24,18:30,25.2,706.5,2022-08-25,108.0,71.0,ประจวบคีรีขันธ์,48475.0,Prachuap Khiri Khan
45,middle,ราชบุรี,33.7,26.0,WNW,22.24,16:33,3.7,658.5,2022-08-25,75.0,42.0,ราชบุรี,48464.0,Ratchaburi
46,middle,นำร่อง,31.5,26.7,S,25.95,18:30,2.5,777.4,2022-08-25,80.0,51.0,สมุทรปราการ,48457.0,Samut Prakan
47,,,,,,,,,,,,,,,Samut Sakhon
48,middle,สมุทรสงคราม,33.3,25.9,SW,51.89,18:09,7.3,670.1,2022-08-25,77.0,46.0,สมุทรสงคราม,48438.0,Samut Songkhram
49,north east,ศรีสะเกษ,30.4,24.3,SW,27.80,19:11,0.7,"1,023.7",2022-08-25,53.0,30.0,ศรีสะเกษ,48409.0,Si Sa Ket
50,north east,อุบลราชธานี (ศูนย์ฯ),31.1,24.1,SSW,27.80,07:45,12.5,"1,618.8",2022-08-25,36.0,19.0,อุบลราชธานี,48407.0,Ubon Ratchathani
51,north east,อำนาจเจริญ,28.6,24.0,W,29.65,13:14,17.8,"1,227.4",2022-08-25,60.0,34.0,อำนาจเจริญ,48391.0,Amnat Charoen
52,north east,ยโสธร,29.0,24.6,WNW,31.51,11:18,43.3,"1,265.4",2022-08-25,54.0,31.0,ยโสธร,48406.0,Yasothon
53,east,พัทยา,31.5,24.6,W,25.95,20:10,27.0,753.5,2022-08-25,94.0,61.0,ชลบุรี,48461.0,Chon Buri
54,east,ฉะเชิงเทรา,31.2,24.2,W,11.12,13:00,0.4,"1,073.4",2022-08-25,92.0,59.0,ฉะเชิงเทรา,48458.0,Chachoengsao
55,east,จันทบุรี,31.4,23.6,WSW,38.92,05:36,49.4,"2,018.2",2022-08-25,90.0,58.0,จันทบุรี,48480.0,Chanthaburi
56,east,สระแก้ว,30.0,24.4,SE,11.12,17:18,67.1,"1,323.0",2022-08-25,83.0,53.0,สระแก้ว,48440.0,Sa Kaeo
57,east,ระยอง,31.2,24.7,S,46.33,21:40,18.3,829.9,2022-08-25,85.0,55.0,ระยอง,48478.0,Rayong
58,east,ตราด,28.0,24.6,ENE,11.12,12:45,82.1,"3,559.6",2022-08-25,89.0,57.0,ตราด,48501.0,Trat
59,north east,บุรีรัมย์,30.4,24.0,,,,11.2,"1,444.0",2022-08-25,58.0,33.0,บุรีรัมย์,48437.0,Buri Ram
60,north east,ชัยภูมิ,32.0,24.4,SW,25.95,22:40,0,"1,000.1",2022-08-25,52.0,29.0,ชัยภูมิ,48403.0,Chaiyaphum
61,north east,ขอนแก่น,32.0,24.7,ESE,14.83,17:02,1.0,"1,100.7",2022-08-25,34.0,18.0,ขอนแก่น,48381.0,Khon Kaen
62,north east,กาฬสินธุ์,31.3,25.2,SSE,12.97,14:30,6.7,"1,101.2",2022-08-25,51.0,28.0,กาฬสินธุ์,48390.0,Kalasin
63,north east,มหาสารคาม,32.5,24.7,S,22.24,15:15,20.9,"1,016.1",2022-08-25,50.0,27.0,มหาสารคาม,48382.0,Maha Sarakham
64,north east,นครราชสีมา,31.5,25.0,NW,27.80,11:58,0.1,841.3,2022-08-25,38.0,20.0,นครราชสีมา,48431.0,Nakhon Ratchasima
65,north east,ร้อยเอ็ด,31.8,25.2,SSW,24.09,15:55,0,"1,224.9",2022-08-25,41.0,21.0,ร้อยเอ็ด,48405.0,Roi Et
66,north east,สุรินทร์,30.8,23.2,S,25.95,12:40,12.6,"1,363.2",2022-08-25,55.0,32.0,สุรินทร์,48432.0,Surin
67,north east,เลย,31.9,23.6,NW,12.97,13:01,1.6,"1,070.6",2022-08-25,32.0,17.0,เลย,48353.0,Loei
68,north east,หนองคาย,30.0,24.0,SE,18.53,23:44,10.6,"1,702.3",2022-08-25,31.0,16.0,หนองคาย,48352.0,Nong Khai
69,north east,สกลนคร,30.5,25.4,SE,20.39,19:22,0.1,957.2,2022-08-25,48.0,26.0,สกลนคร,48356.0,Sakon Nakhon
