,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,32.2,23.5,NNE,12.97,16:33,0.1,941.1,2022-08-13,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,33.8,24.4,NW,25.95,12:35,0,"1,406.1",2022-08-13,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,33.2,23.0,NE,20.39,11:45,90.2,"1,991.2",2022-08-13,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),32.6,28.1,W,12.97,06:17,0.1,"1,326.4",2022-08-13,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,32.6,24.9,W,22.24,13:18,0,"2,298.8",2022-08-13,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,32.7,24.5,W,27.80,11:52,0,"2,468.9",2022-08-13,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,34.3,24.7,E,33.36,10:40,0,"1,233.3",2022-08-13,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,31.8,25.7,SW,18.53,16:20,0,"1,328.8",2022-08-13,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,34.2,24.5,ESE,18.53,14:12,0.1,"1,507.7",2022-08-13,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,35.3,25.5,WSW,14.83,14:30,0,"1,470.2",2022-08-13,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,34.7,23.7,W,25.95,18:38,0.2,"1,032.8",2022-08-13,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,35.3,24.4,SW,18.53,00:00,0,"1,516.8",2022-08-13,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,33.4,23.4,S,27.80,17:32,0.1,"1,309.8",2022-08-13,105.0,67.0,ยะลา,48581.0,Yala
13,north,เชียงราย,31.0,23.3,SSE,14.83,12:40,0.4,"1,363.2",2022-08-13,0.0,1.0,เชียงราย,48303.0,Chiang Rai
