,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,29.5,23.5,S,9.27,13:59,0.2,"1,055.8",2022-08-21,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,33.6,26.6,SSW,27.80,14:16,4.5,"1,420.0",2022-08-21,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,34.5,24.9,W,38.92,14:00,13.1,"2,012.0",2022-08-21,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),32.0,26.5,WSW,27.80,12:00,54.2,"1,427.8",2022-08-21,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,31.1,26.2,W,46.33,18:30,115.2,"2,528.6",2022-08-21,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,32.0,26.0,SW,35.21,13:40,69.4,"2,726.4",2022-08-21,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,33.9,26.7,WSW,46.33,18:20,0,"1,265.3",2022-08-21,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,29.7,25.1,SW,51.89,12:45,55.0,"1,502.6",2022-08-21,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,32.5,25.2,W,42.62,11:20,2.0,"1,518.1",2022-08-21,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,29.4,23.8,W,25.95,10:55,27.9,"1,517.7",2022-08-21,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,30.2,23.5,WSW,33.36,12:50,2.2,"1,054.0",2022-08-21,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,28.2,24.2,WNW,31.51,18:36,26.8,"1,610.0",2022-08-21,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,31.9,24.4,,14.83,00:00,0,"1,314.7",2022-08-21,105.0,67.0,ยะลา,48581.0,Yala
13,north,เชียงราย,30.9,24.5,N,20.39,07:10,44.8,"1,437.6",2022-08-21,0.0,1.0,เชียงราย,48303.0,Chiang Rai
14,north,เชียงใหม่,29.7,25.8,SSW,12.97,09:40,4.3,"1,149.5",2022-08-21,2.0,2.0,เชียงใหม่,48327.0,Chiang Mai
15,north,ลำปาง,30.8,25.4,S,14.83,21:36,25.2,719.1,2022-08-21,24.0,13.0,ลำปาง,48328.0,Lampang
16,north,ลำพูน,30.7,25.6,SW,12.97,14:50,8.8,855.0,2022-08-21,23.0,12.0,ลำพูน,48329.0,Lamphun
17,north,น่าน,27.4,23.2,SSE,9.27,13:53,5.9,"1,071.6",2022-08-21,12.0,5.0,น่าน,48331.0,Nan
18,north,พะเยา,28.2,22.0,NE,27.80,07:28,35.7,990.6,2022-08-21,22.0,11.0,พะเยา,48310.0,Phayao
19,north,แพร่,28.9,23.7,SSW,11.12,15:10,7.2,826.2,2022-08-21,27.0,14.0,แพร่,48330.0,Phrae
20,north,พิษณุโลก,30.0,24.4,W,24.09,20:20,13.2,971.6,2022-08-21,17.0,7.0,พิษณุโลก,48378.0,Phitsanulok
21,north,สุโขทัย,31.2,25.2,NE,68.57,18:40,22.0,727.1,2022-08-21,20.0,10.0,สุโขทัย,48372.0,Sukhothai
