,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,34.9,25.2,ESE,18.53,15:37,0.2,626.9,2022-07-17,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,31.6,25.2,WNW,24.09,15:03,0,"1,319.7",2022-07-17,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,32.8,24.4,S,18.53,17:00,0,"1,785.7",2022-07-17,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),31.3,25.4,SSW,22.24,13:40,0.5,"1,081.9",2022-07-17,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,30.6,23.7,WSW,20.39,04:18,0.4,"1,868.2",2022-07-17,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,30.0,24.5,W,25.95,11:31,0.9,"2,170.3",2022-07-17,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,33.8,26.7,W,24.09,11:35,0,"1,074.5",2022-07-17,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,30.7,24.7,SSW,22.24,05:20,0,953.0,2022-07-17,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,32.1,24.5,ESE,14.83,11:20,0,"1,362.4",2022-07-17,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,34.2,25.4,SW,14.83,15:05,0,"1,343.9",2022-07-17,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,35.9,23.7,WSW,37.07,14:30,12.2,940.8,2022-07-17,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,31.9,25.0,W,14.83,13:21,7.0,"1,286.4",2022-07-17,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,34.4,24.4,W,12.97,04:44,0.1,"1,102.1",2022-07-17,105.0,67.0,ยะลา,48581.0,Yala
13,north,เชียงราย,35.0,25.6,ESE,20.39,12:30,0.1,862.5,2022-07-17,0.0,1.0,เชียงราย,48303.0,Chiang Rai
14,north,เชียงใหม่,35.7,25.5,W,18.53,17:23,0,841.4,2022-07-17,2.0,2.0,เชียงใหม่,48327.0,Chiang Mai
15,north,ลำปาง,37.0,26.2,SSE,22.24,19:05,0,503.9,2022-07-17,24.0,13.0,ลำปาง,48328.0,Lampang
16,north,ลำพูน,36.3,25.6,WSW,20.39,16:52,0,571.0,2022-07-17,23.0,12.0,ลำพูน,48329.0,Lamphun
17,north,น่าน,36.8,26.4,W,20.39,13:34,0,716.1,2022-07-17,12.0,5.0,น่าน,48331.0,Nan
18,north,พะเยา,35.7,25.4,WSW,29.65,12:42,0,811.1,2022-07-17,22.0,11.0,พะเยา,48310.0,Phayao
19,north,แพร่,36.2,25.6,WSW,22.24,16:55,0,542.7,2022-07-17,27.0,14.0,แพร่,48330.0,Phrae
20,north,พิษณุโลก,35.0,25.0,S,24.09,15:20,0,637.9,2022-07-17,17.0,7.0,พิษณุโลก,48378.0,Phitsanulok
21,north,สุโขทัย,35.7,25.6,W,11.12,16:11,0,473.5,2022-07-17,20.0,10.0,สุโขทัย,48372.0,Sukhothai
22,north,อุตรดิตถ์,36.1,26.0,,18.53,13:47,0,589.1,2022-07-17,16.0,6.0,อุตรดิตถ์,48351.0,Uttaradit
23,middle,กาญจนบุรี,34.9,22.7,NW,18.53,09:45,5.3,567.8,2022-07-17,61.0,35.0,กาญจนบุรี,48450.0,Kanchanaburi
24,north,กำแพงเพชร,34.6,25.2,WSW,20.39,15:26,0,877.9,2022-07-17,18.0,8.0,กำแพงเพชร,48380.0,Kamphaeng Phet
