,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,34.6,23.2,ESE,24.09,18:24,0,"1,109.1",2022-08-30,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,33.8,23.9,ENE,20.39,12:31,0,"1,421.7",2022-08-30,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,32.1,22.7,E,16.68,14:23,0,"2,035.1",2022-08-30,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),30.7,24.5,SW,20.39,14:30,2.2,"1,611.7",2022-08-30,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,30.6,23.6,WSW,22.24,11:10,35.8,"2,697.1",2022-08-30,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,32.2,23.1,WSW,20.39,15:47,3.1,"2,793.5",2022-08-30,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,31.0,23.7,E,27.80,15:30,0,"1,279.1",2022-08-30,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,30.7,24.5,SSW,35.21,10:20,42.4,"1,747.8",2022-08-30,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,33.2,24.2,ESE,22.24,15:00,0,"1,605.3",2022-08-30,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,30.8,23.9,WSW,11.12,12:23,7.2,"1,565.9",2022-08-30,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,32.2,23.2,N,22.24,16:00,0,"1,117.6",2022-08-30,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,32.4,23.7,W,22.24,13:30,1.8,"1,675.6",2022-08-30,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,32.5,24.1,NW,16.68,17:29,3.7,"1,401.4",2022-08-30,105.0,67.0,ยะลา,48581.0,Yala
13,north,เชียงราย,35.1,24.5,SSE,18.53,11:30,0,"1,512.7",2022-08-30,0.0,1.0,เชียงราย,48303.0,Chiang Rai
14,north,เชียงใหม่,35.9,24.5,SE,18.53,12:36,0,"1,194.5",2022-08-30,2.0,2.0,เชียงใหม่,48327.0,Chiang Mai
15,north,ลำปาง,36.0,23.0,SSW,14.83,14:08,0,800.5,2022-08-30,24.0,13.0,ลำปาง,48328.0,Lampang
16,north,ลำพูน,35.6,24.4,S,18.53,15:43,0,940.4,2022-08-30,23.0,12.0,ลำพูน,48329.0,Lamphun
17,north,น่าน,35.2,23.9,W,11.12,14:12,0,"1,098.5",2022-08-30,12.0,5.0,น่าน,48331.0,Nan
18,north,พะเยา,35.0,23.0,SE,16.68,18:05,0,"1,018.6",2022-08-30,22.0,11.0,พะเยา,48310.0,Phayao
19,north,แพร่,,,,,,,,2022-08-30,27.0,14.0,แพร่,48330.0,Phrae
20,north,พิษณุโลก,34.1,24.8,W,18.53,13:15,0,"1,058.5",2022-08-30,17.0,7.0,พิษณุโลก,48378.0,Phitsanulok
21,north,สุโขทัย,34.0,24.2,W,11.12,16:50,0,819.2,2022-08-30,20.0,10.0,สุโขทัย,48372.0,Sukhothai
22,north,อุตรดิตถ์,36.3,23.6,WSW,18.53,14:27,0,963.0,2022-08-30,16.0,6.0,อุตรดิตถ์,48351.0,Uttaradit
23,middle,กาญจนบุรี,34.1,23.6,W,12.97,15:35,0,743.8,2022-08-30,61.0,35.0,กาญจนบุรี,48450.0,Kanchanaburi
24,north,กำแพงเพชร,33.3,25.0,E,18.53,15:27,0,"1,216.3",2022-08-30,18.0,8.0,กำแพงเพชร,48380.0,Kamphaeng Phet
25,north,พิจิตร สกษ.,34.0,26.2,SSW,12.97,11:26,0,905.4,2022-08-30,19.0,9.0,พิจิตร,48386.0,Phichit
26,north,เพชรบูรณ์,35.4,25.4,ENE,14.83,15:15,0.1,864.7,2022-08-30,28.0,15.0,เพชรบูรณ์,48379.0,Phetchabun
27,middle,สุพรรณบุรี,34.4,25.6,ENE,11.12,09:03,0,860.1,2022-08-30,69.0,38.0,สุพรรณบุรี,48425.0,Suphan Buri
28,north,ตาก,34.6,24.9,ESE,24.09,17:36,11.6,637.9,2022-08-30,7.0,4.0,ตาก,48376.0,Tak
29,middle,อุทัยธานี,36.1,24.5,W,12.97,13:43,0.1,981.1,2022-08-30,78.0,48.0,อุทัยธานี,48410.0,Uthai Thani
30,,,,,,,,,,,,,,,Ang Thong
31,middle,ชัยนาท สกษ.,33.9,25.2,SE,9.27,14:55,0,887.2,2022-08-30,71.0,39.0,ชัยนาท,48402.0,Chai Nat
32,middle,ลพบุรี,34.0,24.5,SW,12.97,14:30,0,666.6,2022-08-30,72.0,40.0,ลพบุรี,48426.0,Lop Buri
33,east,นครนายก,25.3,18.7,S,7.41,07:35,2.7,"2,671.6",2022-08-30,93.0,60.0,นครนายก,48417.0,Nakhon Nayok
34,east,ปราจีนบุรี,34.0,24.1,,3.71,00:00,0,"1,470.5",2022-08-30,87.0,56.0,ปราจีนบุรี,48430.0,Prachin Buri
35,middle,นครสวรรค์,34.5,24.8,S,9.27,14:35,0,"1,083.1",2022-08-30,63.0,36.0,นครสวรรค์,48400.0,Nakhon Sawan
36,middle,พระนครศรีอยุธยา,34.2,23.3,SE,11.12,12:00,0,740.8,2022-08-30,74.0,41.0,พระนครศรีอยุธยา,48415.0,Phra Nakhon Si Ayutthaya
37,middle,ปทุมธานี สกษ.,33.5,25.0,NW,16.68,13:44,0,"1,154.3",2022-08-30,76.0,43.0,ปทุมธานี,48419.0,Pathum Thani
38,,,,,,,,,,,,,,,Sing Buri
39,,,,,,,,,,,,,,,Saraburi
40,middle,กรุงเทพมหานคร,33.6,24.5,WSW,14.83,15:57,0,"1,349.7",2022-08-30,65.0,37.0,กรุงเทพมหานคร,48455.0,Bangkok Metropolis
41,,,,,,,,,,,,,,,Nonthaburi
42,middle,นครปฐม,33.8,24.0,E,14.83,11:00,0,570.6,2022-08-30,79.0,50.0,นครปฐม,48451.0,Nakhon Pathom
43,west,เพชรบุรี,33.2,22.3,,,,0,620.2,2022-08-30,107.0,70.0,เพชรบุรี,48465.0,Phetchaburi
44,west,หัวหิน,31.5,24.6,E,20.39,14:00,0,714.1,2022-08-30,108.0,71.0,ประจวบคีรีขันธ์,48475.0,Prachuap Khiri Khan
45,middle,ราชบุรี,33.8,24.1,NNW,16.68,09:44,0,673.1,2022-08-30,75.0,42.0,ราชบุรี,48464.0,Ratchaburi
46,middle,นำร่อง,30.5,26.5,SSW,14.83,18:30,0,795.7,2022-08-30,80.0,51.0,สมุทรปราการ,48457.0,Samut Prakan
47,,,,,,,,,,,,,,,Samut Sakhon
48,middle,สมุทรสงคราม,32.6,24.8,SE,16.68,12:59,0,676.0,2022-08-30,77.0,46.0,สมุทรสงคราม,48438.0,Samut Songkhram
49,north east,ศรีสะเกษ,33.8,27.6,NNW,24.09,13:35,0.1,"1,034.7",2022-08-30,53.0,30.0,ศรีสะเกษ,48409.0,Si Sa Ket
50,north east,อุบลราชธานี (ศูนย์ฯ),34.9,27.1,SE,27.80,22:04,0,"1,619.4",2022-08-30,36.0,19.0,อุบลราชธานี,48407.0,Ubon Ratchathani
51,north east,อำนาจเจริญ,34.0,26.1,S,22.24,14:51,0.4,"1,237.2",2022-08-30,60.0,34.0,อำนาจเจริญ,48391.0,Amnat Charoen
52,north east,ยโสธร,33.7,27.6,N,20.39,11:41,0,"1,270.4",2022-08-30,54.0,31.0,ยโสธร,48406.0,Yasothon
53,east,พัทยา,31.4,25.0,W,18.53,12:30,0.6,779.9,2022-08-30,94.0,61.0,ชลบุรี,48461.0,Chon Buri
54,east,ฉะเชิงเทรา,33.5,22.7,S,22.24,17:10,19.3,"1,144.8",2022-08-30,92.0,59.0,ฉะเชิงเทรา,48458.0,Chachoengsao
55,east,จันทบุรี,34.0,23.9,SSW,24.09,14:35,0,"2,037.7",2022-08-30,90.0,58.0,จันทบุรี,48480.0,Chanthaburi
56,east,สระแก้ว,34.6,24.5,NNW,7.41,10:00,0,"1,332.4",2022-08-30,83.0,53.0,สระแก้ว,48440.0,Sa Kaeo
57,east,ระยอง,32.5,25.0,SSW,11.12,15:20,0,853.7,2022-08-30,85.0,55.0,ระยอง,48478.0,Rayong
58,east,ตราด,33.6,24.1,SSW,14.83,11:19,0,"3,574.7",2022-08-30,89.0,57.0,ตราด,48501.0,Trat
59,north east,บุรีรัมย์,31.9,24.7,,,,0.1,"1,519.7",2022-08-30,58.0,33.0,บุรีรัมย์,48437.0,Buri Ram
60,north east,ชัยภูมิ,33.6,24.8,E,14.83,12:05,0,"1,024.1",2022-08-30,52.0,29.0,ชัยภูมิ,48403.0,Chaiyaphum
61,north east,ขอนแก่น,32.5,25.2,W,14.83,15:15,0.7,"1,114.6",2022-08-30,34.0,18.0,ขอนแก่น,48381.0,Khon Kaen
62,north east,กาฬสินธุ์,33.5,25.7,W,9.27,12:40,0.6,"1,102.2",2022-08-30,51.0,28.0,กาฬสินธุ์,48390.0,Kalasin
63,north east,มหาสารคาม,34.1,25.8,WSW,9.27,11:00,0,"1,016.1",2022-08-30,50.0,27.0,มหาสารคาม,48382.0,Maha Sarakham
64,north east,นครราชสีมา,33.8,24.4,WSW,18.53,17:12,0,867.2,2022-08-30,38.0,20.0,นครราชสีมา,48431.0,Nakhon Ratchasima
65,north east,ร้อยเอ็ด,33.6,27.6,NNW,18.53,10:23,6.7,"1,238.4",2022-08-30,41.0,21.0,ร้อยเอ็ด,48405.0,Roi Et
66,north east,สุรินทร์,33.8,25.0,W,22.24,12:48,0.1,"1,434.3",2022-08-30,55.0,32.0,สุรินทร์,48432.0,Surin
67,north east,เลย,34.7,22.6,NE,11.12,12:24,0,"1,100.4",2022-08-30,32.0,17.0,เลย,48353.0,Loei
68,north east,หนองคาย,36.5,26.0,WSW,14.83,15:55,0,"1,703.7",2022-08-30,31.0,16.0,หนองคาย,48352.0,Nong Khai
69,north east,สกลนคร,34.8,26.2,SW,24.09,14:40,1.5,967.0,2022-08-30,48.0,26.0,สกลนคร,48356.0,Sakon Nakhon
70,north east,อุดรธานี,36.0,25.1,WSW,18.53,16:02,0,"1,112.1",2022-08-30,44.0,23.0,อุดรธานี,48354.0,Udon Thani
71,north east,หนองบัวลำภู,35.2,24.6,S,14.83,17:40,0,892.7,2022-08-30,45.0,24.0,หนองบัวลำภู,48360.0,Nong Bua Lam Phu
72,north east,นครพนม,35.7,26.5,S,18.53,16:55,0,"1,525.9",2022-08-30,46.0,25.0,นครพนม,48357.0,Nakhon Phanom
73,north east,มุกดาหาร,35.5,27.1,W,27.80,15:23,0,"1,118.2",2022-08-30,43.0,22.0,มุกดาหาร,48383.0,Mukdahan
74,west,นราธิวาส,33.4,24.4,ENE,20.39,14:25,2.0,"1,718.3",2022-08-30,104.0,65.0,นราธิวาส,48583.0,Narathiwat
75,west,ปัตตานี,32.4,24.3,NE,22.24,11:30,0.2,"1,153.4",2022-08-30,106.0,68.0,ปัตตานี,48580.0,Pattani
76,north east,บึงกาฬ,35.3,25.6,NW,18.53,16:10,0,"2,420.2",2022-08-30,128.0,81.0,บึงกาฬ,48363.0,Bueng Kan
