,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,35.0,23.6,SSE,11.12,19:42,0.1,"1,114.9",2022-09-02,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,33.2,24.4,S,33.36,14:52,21.8,"1,445.0",2022-09-02,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,34.5,24.3,NNW,20.39,16:39,35.2,"2,070.3",2022-09-02,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),30.6,24.2,W,12.97,14:27,58.8,"1,926.6",2022-09-02,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,31.3,23.8,WSW,22.24,13:30,5.2,"2,782.1",2022-09-02,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,31.1,24.2,W,22.24,10:51,0.8,"2,817.3",2022-09-02,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,34.9,26.2,SSW,33.36,21:40,31.8,"1,311.9",2022-09-02,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,30.8,23.9,WSW,33.36,22:30,109.4,"1,904.0",2022-09-02,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,34.0,24.6,NW,27.80,15:00,0.1,"1,605.6",2022-09-02,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,32.8,24.6,WSW,27.80,15:04,3.6,"1,589.5",2022-09-02,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,33.1,23.4,WSW,42.62,16:00,0,"1,122.8",2022-09-02,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,31.7,23.5,WSW,27.80,14:54,2.7,"1,751.8",2022-09-02,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,33.4,23.6,SW,27.80,15:19,0,"1,421.8",2022-09-02,105.0,67.0,ยะลา,48581.0,Yala
13,north,เชียงราย,33.5,24.4,NNE,11.12,14:30,0,"1,512.7",2022-09-02,0.0,1.0,เชียงราย,48303.0,Chiang Rai
14,north,เชียงใหม่,36.0,24.8,SE,14.83,15:48,0,"1,194.5",2022-09-02,2.0,2.0,เชียงใหม่,48327.0,Chiang Mai
15,north,ลำปาง,35.7,24.5,W,14.83,10:25,0,807.2,2022-09-02,24.0,13.0,ลำปาง,48328.0,Lampang
16,north,ลำพูน,35.9,24.9,S,16.68,14:00,1.5,942.5,2022-09-02,23.0,12.0,ลำพูน,48329.0,Lamphun
17,north,น่าน,36.1,25.6,S,11.12,10:00,0,"1,098.5",2022-09-02,12.0,5.0,น่าน,48331.0,Nan
18,north,พะเยา,35.2,23.2,E,22.24,15:29,0,"1,018.6",2022-09-02,22.0,11.0,พะเยา,48310.0,Phayao
19,north,แพร่,34.5,24.0,W,22.24,13:50,0.1,876.1,2022-09-02,27.0,14.0,แพร่,48330.0,Phrae
20,north,พิษณุโลก,34.2,25.0,NE,18.53,08:20,0,"1,059.5",2022-09-02,17.0,7.0,พิษณุโลก,48378.0,Phitsanulok
21,north,สุโขทัย,35.7,26.2,NNW,11.12,08:20,0,821.8,2022-09-02,20.0,10.0,สุโขทัย,48372.0,Sukhothai
