,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,37.4,24.3,ESE,22.24,15:32,0,743.1,2022-07-26,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,33.1,24.6,E,16.68,12:17,0,"1,351.6",2022-07-26,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,33.0,24.2,E,22.24,14:07,9.0,"1,881.5",2022-07-26,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),32.6,24.6,W,18.53,15:19,0.3,"1,156.5",2022-07-26,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,32.0,24.4,WSW,18.53,12:30,0.6,"2,031.6",2022-07-26,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,31.3,23.8,WSW,18.53,14:31,20.6,"2,383.9",2022-07-26,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,32.2,25.5,E,22.24,15:20,0,"1,179.5",2022-07-26,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,32.6,24.8,SW,18.53,20:10,0,"1,035.4",2022-07-26,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,33.0,25.3,E,18.53,16:25,0.6,"1,457.7",2022-07-26,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,33.5,24.9,ESE,16.68,15:27,5.9,"1,417.7",2022-07-26,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,35.1,23.8,ESE,27.80,14:41,5.4,953.6,2022-07-26,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,34.5,24.3,N,25.95,17:42,45.0,"1,417.1",2022-07-26,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,34.6,24.2,W,29.65,16:15,45.5,"1,170.0",2022-07-26,105.0,67.0,ยะลา,48581.0,Yala
13,north,เชียงราย,35.8,24.3,SSE,20.39,14:30,0,957.9,2022-07-26,0.0,1.0,เชียงราย,48303.0,Chiang Rai
14,north,เชียงใหม่,36.2,23.5,ESE,18.53,15:50,0,913.2,2022-07-26,2.0,2.0,เชียงใหม่,48327.0,Chiang Mai
15,north,ลำปาง,38.0,25.2,S,14.83,14:06,0,573.9,2022-07-26,24.0,13.0,ลำปาง,48328.0,Lampang
16,north,ลำพูน,36.7,24.0,NE,20.39,16:24,0,623.6,2022-07-26,23.0,12.0,ลำพูน,48329.0,Lamphun
17,north,น่าน,37.0,25.0,SSE,12.97,11:16,0,818.3,2022-07-26,12.0,5.0,น่าน,48331.0,Nan
18,north,พะเยา,36.0,24.2,SW,16.68,13:50,0,839.9,2022-07-26,22.0,11.0,พะเยา,48310.0,Phayao
19,north,แพร่,37.0,24.9,ENE,22.24,18:40,0,677.3,2022-07-26,27.0,14.0,แพร่,48330.0,Phrae
20,north,พิษณุโลก,35.0,24.2,WSW,18.53,14:40,0,716.7,2022-07-26,17.0,7.0,พิษณุโลก,48378.0,Phitsanulok
21,north,สุโขทัย,36.2,25.0,SW,14.83,17:30,0,531.4,2022-07-26,20.0,10.0,สุโขทัย,48372.0,Sukhothai
22,north,อุตรดิตถ์,38.0,25.0,,14.83,15:42,0,668.6,2022-07-26,16.0,6.0,อุตรดิตถ์,48351.0,Uttaradit
23,middle,กาญจนบุรี,36.2,22.5,NW,14.83,08:16,0,611.1,2022-07-26,61.0,35.0,กาญจนบุรี,48450.0,Kanchanaburi
24,north,กำแพงเพชร,35.5,24.1,ESE,16.68,13:56,0,943.7,2022-07-26,18.0,8.0,กำแพงเพชร,48380.0,Kamphaeng Phet
25,north,พิจิตร สกษ.,35.8,25.7,NE,20.39,18:01,0,626.1,2022-07-26,19.0,9.0,พิจิตร,48386.0,Phichit
26,north,เพชรบูรณ์,37.4,26.1,WSW,16.68,16:50,0.1,654.2,2022-07-26,28.0,15.0,เพชรบูรณ์,48379.0,Phetchabun
27,middle,สุพรรณบุรี,35.9,26.0,S,12.97,15:23,0,568.1,2022-07-26,69.0,38.0,สุพรรณบุรี,48425.0,Suphan Buri
28,north,ตาก,36.8,23.5,ENE,16.68,14:07,0,457.0,2022-07-26,7.0,4.0,ตาก,48376.0,Tak
29,middle,อุทัยธานี,36.0,23.5,N,12.97,09:19,0,787.0,2022-07-26,78.0,48.0,อุทัยธานี,48410.0,Uthai Thani
30,,,,,,,,,,,,,,,Ang Thong
31,middle,ชัยนาท สกษ.,35.5,24.7,,3.71,18:20,0,724.4,2022-07-26,71.0,39.0,ชัยนาท,48402.0,Chai Nat
32,middle,ลพบุรี,34.9,25.9,S,16.68,12:08,0,354.9,2022-07-26,72.0,40.0,ลพบุรี,48426.0,Lop Buri
33,east,นครนายก,25.9,17.9,SSW,5.56,13:01,7.0,"1,638.3",2022-07-26,93.0,60.0,นครนายก,48417.0,Nakhon Nayok
34,east,ปราจีนบุรี,35.0,26.8,ESE,5.56,11:00,0,842.8,2022-07-26,87.0,56.0,ปราจีนบุรี,48430.0,Prachin Buri
35,middle,นครสวรรค์,36.3,24.6,S,9.27,15:17,0,830.6,2022-07-26,63.0,36.0,นครสวรรค์,48400.0,Nakhon Sawan
36,middle,พระนครศรีอยุธยา,34.6,25.4,SE,9.27,09:20,0,473.1,2022-07-26,74.0,41.0,พระนครศรีอยุธยา,48415.0,Phra Nakhon Si Ayutthaya
37,middle,ปทุมธานี สกษ.,36.1,27.1,WSW,9.27,07:42,0,748.0,2022-07-26,76.0,43.0,ปทุมธานี,48419.0,Pathum Thani
38,,,,,,,,,,,,,,,Sing Buri
39,,,,,,,,,,,,,,,Saraburi
40,middle,กรุงเทพมหานคร,34.2,27.8,NNW,22.24,12:55,10.8,983.3,2022-07-26,65.0,37.0,กรุงเทพมหานคร,48455.0,Bangkok Metropolis
41,,,,,,,,,,,,,,,Nonthaburi
42,middle,นครปฐม,35.6,25.5,SSE,18.53,13:52,0,405.4,2022-07-26,79.0,50.0,นครปฐม,48451.0,Nakhon Pathom
43,west,เพชรบุรี,33.1,23.8,,,,0,509.8,2022-07-26,107.0,70.0,เพชรบุรี,48465.0,Phetchaburi
44,west,หัวหิน,32.5,26.0,,,,0,638.7,2022-07-26,108.0,71.0,ประจวบคีรีขันธ์,48475.0,Prachuap Khiri Khan
45,middle,ราชบุรี,34.7,24.8,ESE,18.53,14:05,0,524.4,2022-07-26,75.0,42.0,ราชบุรี,48464.0,Ratchaburi
46,middle,นำร่อง,31.2,28.5,S,18.53,19:20,0,612.5,2022-07-26,80.0,51.0,สมุทรปราการ,48457.0,Samut Prakan
47,,,,,,,,,,,,,,,Samut Sakhon
48,middle,สมุทรสงคราม,33.4,24.5,SSW,27.80,22:56,0,426.1,2022-07-26,77.0,46.0,สมุทรสงคราม,48438.0,Samut Songkhram
49,north east,ศรีสะเกษ,31.4,27.5,SE,33.36,10:16,15.2,792.7,2022-07-26,53.0,30.0,ศรีสะเกษ,48409.0,Si Sa Ket
50,north east,อุบลราชธานี (ศูนย์ฯ),31.8,26.6,W,12.97,17:48,0.5,"1,032.1",2022-07-26,36.0,19.0,อุบลราชธานี,48407.0,Ubon Ratchathani
51,north east,อำนาจเจริญ,33.9,26.1,SE,25.95,13:16,5.2,773.8,2022-07-26,60.0,34.0,อำนาจเจริญ,48391.0,Amnat Charoen
52,north east,ยโสธร,34.5,27.1,WSW,35.21,12:20,0.2,905.1,2022-07-26,54.0,31.0,ยโสธร,48406.0,Yasothon
53,east,พัทยา,31.6,26.5,S,22.24,15:20,0,640.9,2022-07-26,94.0,61.0,ชลบุรี,48461.0,Chon Buri
54,east,ฉะเชิงเทรา,34.5,23.3,SW,11.12,19:00,0,883.8,2022-07-26,92.0,59.0,ฉะเชิงเทรา,48458.0,Chachoengsao
55,east,จันทบุรี,32.9,25.3,,18.53,13:17,0,"1,435.4",2022-07-26,90.0,58.0,จันทบุรี,48480.0,Chanthaburi
56,east,สระแก้ว,34.5,25.6,SSE,3.71,10:38,0,739.7,2022-07-26,83.0,53.0,สระแก้ว,48440.0,Sa Kaeo
57,east,ระยอง,32.5,26.0,SSW,16.68,17:03,0,619.7,2022-07-26,85.0,55.0,ระยอง,48478.0,Rayong
58,east,ตราด,31.7,24.1,ENE,14.83,07:40,0.3,"2,477.1",2022-07-26,89.0,57.0,ตราด,48501.0,Trat
59,north east,บุรีรัมย์,33.6,26.6,,,,53.4,"1,149.4",2022-07-26,58.0,33.0,บุรีรัมย์,48437.0,Buri Ram
60,north east,ชัยภูมิ,34.8,25.6,E,44.48,15:58,4.0,801.4,2022-07-26,52.0,29.0,ชัยภูมิ,48403.0,Chaiyaphum
61,north east,ขอนแก่น,36.0,26.3,ESE,16.68,15:47,0,824.6,2022-07-26,34.0,18.0,ขอนแก่น,48381.0,Khon Kaen
62,north east,กาฬสินธุ์,35.7,26.0,SSW,33.36,14:30,0.2,925.3,2022-07-26,51.0,28.0,กาฬสินธุ์,48390.0,Kalasin
63,north east,มหาสารคาม,,,,,,,,2022-07-26,50.0,27.0,มหาสารคาม,48382.0,Maha Sarakham
64,north east,นครราชสีมา,33.7,26.0,ENE,33.36,15:38,0.1,621.1,2022-07-26,38.0,20.0,นครราชสีมา,48431.0,Nakhon Ratchasima
65,north east,ร้อยเอ็ด,34.4,27.3,S,40.77,13:47,13.5,987.0,2022-07-26,41.0,21.0,ร้อยเอ็ด,48405.0,Roi Et
66,north east,สุรินทร์,33.6,25.8,NE,38.92,12:05,2.6,"1,088.2",2022-07-26,55.0,32.0,สุรินทร์,48432.0,Surin
67,north east,เลย,37.9,24.0,E,11.12,12:16,0,861.9,2022-07-26,32.0,17.0,เลย,48353.0,Loei
68,north east,หนองคาย,37.5,26.8,SE,24.09,20:02,0,"1,288.5",2022-07-26,31.0,16.0,หนองคาย,48352.0,Nong Khai
69,north east,สกลนคร,36.3,26.8,S,22.24,16:06,0,771.1,2022-07-26,48.0,26.0,สกลนคร,48356.0,Sakon Nakhon
70,north east,อุดรธานี,37.1,26.5,ESE,27.80,18:02,0,764.7,2022-07-26,44.0,23.0,อุดรธานี,48354.0,Udon Thani
71,north east,หนองบัวลำภู,36.2,24.6,E,22.24,00:00,0,616.3,2022-07-26,45.0,24.0,หนองบัวลำภู,48360.0,Nong Bua Lam Phu
72,north east,นครพนม,36.4,27.0,W,14.83,19:50,0,956.6,2022-07-26,46.0,25.0,นครพนม,48357.0,Nakhon Phanom
73,north east,มุกดาหาร,36.4,27.8,SW,14.83,15:20,0,722.8,2022-07-26,43.0,22.0,มุกดาหาร,48383.0,Mukdahan
74,west,นราธิวาส,32.0,24.5,,,,0,"1,466.1",2022-07-26,104.0,65.0,นราธิวาส,48583.0,Narathiwat
75,west,ปัตตานี,33.5,24.4,S,33.36,16:10,34.5,871.7,2022-07-26,106.0,68.0,ปัตตานี,48580.0,Pattani
76,north east,บึงกาฬ,36.2,26.2,W,20.39,14:51,0,"1,585.2",2022-07-26,128.0,81.0,บึงกาฬ,48363.0,Bueng Kan
