,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,31.9,23.4,W,11.12,13:44,1.6,"1,103.1",2022-08-27,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,33.2,25.3,W,20.39,13:53,0.1,"1,421.4",2022-08-27,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,33.0,24.2,NNW,20.39,18:40,5.1,"2,032.1",2022-08-27,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),30.9,23.4,SW,22.24,07:52,21.5,"1,609.5",2022-08-27,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,30.2,23.8,WSW,27.80,08:00,17.4,"2,653.9",2022-08-27,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,31.2,24.1,SW,27.80,17:01,1.9,"2,782.9",2022-08-27,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,32.9,25.0,WNW,27.80,14:50,4.3,"1,271.5",2022-08-27,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,29.5,24.0,W,40.77,21:35,19.2,"1,678.4",2022-08-27,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,33.6,25.2,E,33.36,16:50,73.1,"1,602.4",2022-08-27,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,33.3,24.5,WSW,14.83,12:23,8.2,"1,552.3",2022-08-27,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,34.6,24.1,ENE,50.04,14:53,46.8,"1,102.8",2022-08-27,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,32.4,24.5,W,20.39,14:43,9.2,"1,650.3",2022-08-27,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,32.9,25.0,N,22.24,13:49,35.3,"1,370.9",2022-08-27,105.0,67.0,ยะลา,48581.0,Yala
