,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,32.7,24.2,SE,18.53,21:26,0,956.3,2022-08-14,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,33.5,24.9,WNW,20.39,18:11,14.7,"1,406.1",2022-08-14,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,33.0,23.2,E,18.53,13:27,0,"1,991.2",2022-08-14,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),32.5,24.5,NW,12.97,05:44,0,"1,333.7",2022-08-14,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,32.0,23.5,WNW,24.09,14:01,0,"2,351.8",2022-08-14,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,32.7,24.7,W,22.24,12:28,0,"2,481.0",2022-08-14,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,31.8,26.4,E,16.68,04:37,0,"1,233.3",2022-08-14,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,33.0,24.7,SW,22.24,09:15,0,"1,377.4",2022-08-14,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,34.0,25.2,ESE,22.24,14:50,0,"1,512.3",2022-08-14,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,34.1,24.8,ENE,22.24,14:20,7.2,"1,470.2",2022-08-14,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,35.2,22.5,W,31.51,16:00,30.2,"1,032.8",2022-08-14,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,34.9,25.2,SSW,25.95,14:56,8.8,"1,524.7",2022-08-14,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,34.6,22.4,SSE,31.51,15:00,0,"1,309.8",2022-08-14,105.0,67.0,ยะลา,48581.0,Yala
13,north,เชียงราย,32.7,25.0,E,16.68,12:50,0.1,"1,372.8",2022-08-14,0.0,1.0,เชียงราย,48303.0,Chiang Rai
14,north,เชียงใหม่,33.4,24.3,E,16.68,16:42,0.3,"1,112.2",2022-08-14,2.0,2.0,เชียงใหม่,48327.0,Chiang Mai
15,north,ลำปาง,35.1,24.5,W,16.68,11:49,0,680.0,2022-08-14,24.0,13.0,ลำปาง,48328.0,Lampang
16,north,ลำพูน,34.7,24.1,SW,14.83,20:35,0,778.5,2022-08-14,23.0,12.0,ลำพูน,48329.0,Lamphun
