,date,min_temp,max_temp,max_wind_dir,max_wind_sp,rain_24h,note
0,11 ก.ย. 65,24.1,30.5,290,14.8,2.8,ในเวลาเช้าตรู่ถึงตอนสาย ท้องฟ้าเมฆมากเต็มท้องฟ้า   มีฝนตกต่อเนื่องมาตั้งแต่เช้าตรู่   อากาศเย็นสบาย ลมสงบ  ช่วงบ่ายถึงค่ำท้องฟ้าเมฆมาก  ทัศนวิสัยดีทั่วไป   ลมทิศ แปรปรวน ความเร็วประมาณ 2-3 นอต อากาศร้อนขึ้น  มีฝนตกช่วงสายถึงเที่ยง    ส่วนในช่วงค่ำถึงดึกท้องฟ้าเมฆบางส่วน  ทัศนวิสัยดีทั่วไป ลมทั่วไปสงบ
1,10 ก.ย. 65,25.1,31.5,070,24.1,12.5,ฝนตกปานกลาง
2,09 ก.ย. 65,24.0,30.2,080,27.8,35.1,ฝนตกหนัก
3,08 ก.ย. 65,25.4,30.5,060,22.2,37.2,ในเวลาเช้าตรู่ถึงตอนสาย ท้องฟ้าเมฆมาก   มีฟ้าหลัวช่วงเช้า   อากาศเย็นสบาย ลมสงบ  ช่วงบ่ายถึงค่ำท้องฟ้าเมฆมาก  ทัศนวิสัยดีทั่วไป   ลมทิศ อ ความเร็วประมาณ 2-4 นอต อากาศร้อนขึ้น  มีฝนตกช่วงสายและบ่าย    ส่วนในช่วงค่ำถึงดึกท้องฟ้าเมฆมาก  ทัศนวิสัยดีทั่วไป มีฝนตกช่วงดึก  ลมทั่วไปสงบ
4,07 ก.ย. 65,25.4,32.5,050,27.8,ไม่มีฝน,ในเวลาเช้าตรู่ถึงตอนสาย ท้องฟ้าเมฆบางส่วน เต็มท้องฟ้า   ทัศนวิสัยดีทั่วไป  อากาศเย็นสบาย ลมสงบ  ช่วงบ่ายถึงค่ำท้องฟ้าเมฆบางส่วน  ทัศนวิสัยดีทั่วไป   ลมทิศ อนอ ความเร็วประมาณ 2-5 นอต อากาศร้อนขึ้น    ส่วนในช่วงค่ำถึงดึกท้องฟ้าเมฆบางส่วน  ทัศนวิสัยดีทั่วไป  ลมทั่วไปสงบ
5,06 ก.ย. 65,24.4,32.0,090,18.5,1.0,ฝนตกเล็กน้อย
6,05 ก.ย. 65,25.5,31.6,100,29.7,ไม่มีฝน,ในเวลาเช้าตรู่ถึงตอนสาย ท้องฟ้าเมฆมาก เต็มท้องฟ้า   ทัศนวิสัยดีทั่วไป  อากาศเย็นสบาย ลมทิศ  นนอ  ความเร็วประมาณ 2-3 นอต ช่วงบ่ายถึงค่ำท้องฟ้าเมฆบางส่วน  ทัศนวิสัยดีทั่วไป   ลมทิศแปรปรวน ความเร็วประมาณ 2-3 นอต อากาศร้อน  มีฟ้าคะนองช่วงบ่าย  ส่วนในช่วงค่ำถึงดึกท้องฟ้าเมฆบางส่วน  ทัศนวิสัยดีทั่วไป  ลมทั่วไปสงบ
