,date,min_temp,max_temp,max_wind_dir,max_wind_sp,rain_24h,note
0,11 ก.ย. 65,24.6,31.0,220,18.5,1.0,ฝนฟ้าคะนองเวลา 01.35 - 02.10 น. ฝนธรรมดาเวลา 14.10 - 14.40 น.
1,10 ก.ย. 65,25.6,30.0,230,18.5,26.9,"ฝนธรรมดาเวลา 06.20 - 06.45 น.,07.45 - 08.55 น.,11.50 - 12.20 น.,14.30 -14.40 น."
2,09 ก.ย. 65,24.8,31.2,320,18.5,2.2,"ฝนธรรมดาเวลา 02.50 - 05.50 น.,16.05 - 16.20 น. ฝนฟ้าคะนองเวลา 17.10 -18.20 น."
3,08 ก.ย. 65,26.1,29.0,340,22.2,9.4,"ฝนธรรมดาเวลา 12.25 - 13.40 น. , เวลา 14.15 - 14.45 น. , เวลา 15.50 - 17.20 น."
4,07 ก.ย. 65,26.0,33.4,170,22.2,7.0,"ฟ้าแลบทิศ SSW เวลา 00.30 - 01.40 น.ฝนธรรมดาเวลา 05.50 - 05.55 น. ฝนธรรมดาเวลา 13.30 - 13.45 น. ฝนฟ้าคะนองเวลา 13.45 - 14.35 น. ฟ้าคะนองทิศ SE เวลา 14.35 - 14.50 น. , ทิศ NNW เวลา 14.45 - 15.15 น. ฝนธรรมดาเวลา 20.35 - 20.50 น."
5,06 ก.ย. 65,25.4,33.0,030,48.2,19.1,ฝนธรรมดาเวลา 15.15 - 15.25 น.ฝนฟ้าคะนองเวลา 17.25 - 18.10 น.ฝนธรรมดาเวลา 18.10 - 19.15 น.
6,05 ก.ย. 65,25.6,32.7,230,14.8,0.6,ฝนธรรมดาเวลา 18.30 - 19.25 น.ฟ้าแลบทิศ S เวลา 20.00 - 20.50 น.ฟ้าคะนองทิศ SW เวลา 20.50 - 22.10 น.และทิศ S เวลา 23.35 - 23.50 น.
