,date,min_temp,max_temp,max_wind_dir,max_wind_sp,rain_24h,note
0,03 ก.ย. 65,25.0,34.0,160,18.5,ไม่มีฝน,"ช่วงเช้าถึงสาย ทัศนิสัยดีท้องฟ้ามีเมฆบางส่วน
ช่วงบ่าย ทัศนิสัยดี ท้องฟ้ามีเมฆบางส่วน
ช่วงค่ำ ทัศนิสัยดี ท้องฟ้ามีเมฆบางส่วน
อุณหภูมิสูงสุด 34.0องศาเซลเซียส  อุณหภูมิต่ำสุด 25.0 องศาเซลเซียส 
ลมสูงสุดทิศ 160 ความเร็วลม  19 กม/ชม.   เวลา 12.32 น."
1,02 ก.ย. 65,24.5,35.7,280,14.8,ไม่มีฝน,"ช่วงเช้าท้องฟ้ามีเมฆเป็นส่วนมาก อุณหภูมิสบาย ลมสงบ ทัศนวิสัยดี .
ช่วงบ่ายท้องฟ้ามีเมฆบางส่วน อากาศร้อนลมสงบ ทัศนวิสัยดี .
ช่วงค่ำท้องฟ้าโปร่ง อุณหภูมิสบาย ลมสงบ ทัศนวิสัยดี .
อุณหภูมิสูงสุด 35.7 องศาเซลเซียส  อุณหภูมิต่ำสุด 24.5 องศาเซลเซียส
ลมสูงสุดทิศ  280 ความเร็วลม 14 กม/ชม.   เวลา  10.25 น."
2,01 ก.ย. 65,25.0,31.7,170,13.0,6.7,"ช่วงเช้าท้องฟ้าโปร่ง อุณหภูมิสบาย ลมสงบ ทัศนวิสัยดี .
ช่วงบ่ายท้องฟ้าโปร่ง อากาศร้อนลมสงบ ทัศนวิสัยดี .
ช่วงค่ำท้องฟ้ามีเมฆเป็นส่วนมาก อุณหภูมิสบาย ลมสงบ ทัศนวิสัยดี .
อุณหภูมิสูงสุด 31.7 องศาเซลเซียส  อุณหภูมิต่ำสุด 25 องศาเซลเซียส
ลมสูงสุดทิศ  170 ความเร็วลม 13 กม/ชม.   เวลา  12.58 น."
3,31 ส.ค. 65,24.0,36.6,300,18.5,ฝนเล็กน้อย,"ช่วงเช้าถึงสาย ทัศนิสัยดีท้องฟ้ามีเมฆบางส่วน
ช่วงบ่าย ทัศนิสัยดี ท้องฟ้ามีเมฆบางส่วน
ช่วงค่ำ ทัศนิสัยดี ท้องฟ้ามีเมฆบางส่วน
อุณหภูมิสูงสุด 36.6 องศาเซลเซียส  อุณหภูมิต่ำสุด 24.0 องศาเซลเซียส 
ลมสูงสุดทิศ 300 ความเร็วลม  18 กม/ชม.   เวลา 19.45 น."
4,30 ส.ค. 65,23.0,36.0,200,14.8,ไม่มีฝน,"ช่วงเช้าถึงสาย ทัศนิสัยดีท้องฟ้ามีเมฆบางส่วน
ช่วงบ่าย ทัศนิสัยดี ท้องฟ้ามีเมฆบางส่วน
ช่วงค่ำ ทัศนิสัยดี ท้องฟ้ามีเมฆบางส่วน
อุณหภูมิสูงสุด 36.0 องศาเซลเซียส  อุณหภูมิต่ำสุด 23.0 องศาเซลเซียส 
ลมสูงสุดทิศ 200 ความเร็วลม  15 กม/ชม.   เวลา 14.08 น."
5,29 ส.ค. 65,24.5,35.6,160,25.9,ไม่มีฝน,"ช่วงเช้าถึงสาย ทัศนิสัยดี ท้องฟ้าโปร่ง
ช่วงบ่าย ทัศนิสัยดี ท้องฟ้าโปร่ง
ช่วงค่ำ ทัศนิสัยดี ท้องฟ้ามีเมฆบางส่วน
อุณหภูมิสูงสุด 35.6 องศาเซลเซียส  อุณหภูมิต่ำสุด 24.5 องศาเซลเซียส 
ลมสูงสุดทิศ 160 ความเร็วลม  26 กม/ชม.   เวลา 14.43 น."
6,28 ส.ค. 65,24.0,34.8,180,16.7,ไม่มีฝน,"ช่วงเช้าท้องฟ้ามีเมฆเป็นส่วนมาก อุณหภูมิสบาย ลมสงบ ทัศนวิสัยดี .
ช่วงบ่ายท้องฟ้ามีเมฆบางส่วน อุณหภูมิสบายลมสงบ ทัศนวิสัยดี .
ช่วงค่ำท้องฟ้ามีเมฆบางส่วน อุณหภูมิสบาย ลมสงบ ทัศนวิสัยดี .
อุณหภูมิสูงสุด 34.8 องศาเซลเซียส  อุณหภูมิต่ำสุด 24 องศาเซลเซียส
ลมสูงสุดทิศ  180 ความเร็วลม 16 กม/ชม.   เวลา  17.08 น."
