,date,min_temp,max_temp,max_wind_dir,max_wind_sp,rain_24h,note
0,03 ก.ย. 65,25.9,31.8,180,24.1,17.2,"วันที่ 3 กันยายน 2565  00:30-00:30 น.
เวลา 00:30-08:30 น.  อากาศเย็น ลมสงบ  ท้องฟ้ามีเมฆเป็นส่วนมาก  ทะเลสงบ-เรียบ ทัศนวิสัยปานกลาง
เวลา 08:30-16:30 น.  อากาศอบอุ่น ลมกำลังเฉลี่ย 3-4 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆบางส่วนถึงเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง
เวลา 16:30-00:30 น.  อากาศเย็น ลมกำลังเฉลี่ย 3 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง"
1,02 ก.ย. 65,25.0,32.2,090,18.5,ไม่มีฝน,"วันที่ 2 กันยายน 2565  00:30-00:30 น.
เวลา 00:30-08:30 น.  อากาศเย็น ลมสงบ  ท้องฟ้ามีเมฆเป็นส่วนมาก  ทะเลสงบ-เรียบ ทัศนวิสัยปานกลาง
เวลา 08:30-16:30 น.  อากาศอบอุ่น ลมกำลังเฉลี่ย 3-4 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆบางส่วนถึงเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง
เวลา 16:30-00:30 น.  อากาศเย็น ลมกำลังเฉลี่ย 3 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง"
2,01 ก.ย. 65,23.5,31.7,150,9.3,ไม่มีฝน,"วันที่ 1 กันยายน 2565  00:30-00:30 น.
เวลา 00:30-08:30 น.  อากาศเย็น ลมสงบ  ท้องฟ้ามีเมฆเป็นส่วนมาก  ทะเลสงบ-เรียบ ทัศนวิสัยปานกลาง
เวลา 08:30-16:30 น.  อากาศอบอุ่น ลมกำลังเฉลี่ย 3-4 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆบางส่วนถึงเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง
เวลา 16:30-00:30 น.  อากาศเย็น ลมกำลังเฉลี่ย 3 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง"
3,31 ส.ค. 65,24.0,31.0,170,18.5,1.7,"วันที่ 31 สิงหาคม 2565  00:30-00:30 น.
เวลา 00:30-08:30 น.  อากาศเย็น ลมสงบ  ท้องฟ้ามีเมฆเป็นส่วนมาก  ทะเลสงบ-เรียบ ทัศนวิสัยปานกลาง
เวลา 08:30-16:30 น.  อากาศอบอุ่น ลมกำลังเฉลี่ย 3-4 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆบางส่วนถึงเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง
เวลา 16:30-00:30 น.  อากาศเย็น ลมกำลังเฉลี่ย 3 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง"
4,29 ส.ค. 65,23.6,30.0,140,27.8,30.0,"วันที่ 29 สิงหาคม 2565  00:30-00:30 น.
เวลา 00:30-08:30 น.  อากาศเย็น ลมสงบ  ท้องฟ้ามีเมฆเป็นส่วนมาก  ทะเลสงบ-เรียบ ทัศนวิสัยปานกลาง
เวลา 08:30-16:30 น.  อากาศอบอุ่น ลมกำลังเฉลี่ย 3-4 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆบางส่วนถึงเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง
เวลา 16:30-00:30 น.  อากาศเย็น ลมกำลังเฉลี่ย 3 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง"
5,28 ส.ค. 65,26.0,33.0,140,18.5,ฝนเล็กน้อย,"วันที่ 28 สิงหาคม 2565  00:30-00:30 น.
เวลา 00:30-08:30 น.  อากาศเย็น ลมสงบ  ท้องฟ้ามีเมฆเป็นส่วนมาก  ทะเลสงบ-เรียบ ทัศนวิสัยปานกลาง
เวลา 08:30-16:30 น.  อากาศอบอุ่น ลมกำลังเฉลี่ย 3-4 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆบางส่วนถึงเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง
เวลา 16:30-00:30 น.  อากาศเย็น ลมกำลังเฉลี่ย 3 นอต  ทิศตะวันออก ทิศตะวันออกเฉียงใต้ ท้องฟ้ามีเมฆเป็นส่วนมาก   ทะเลสงบ-เรียบ  ทัศนวิสัยปานกลาง"
