,date,min_temp,max_temp,max_wind_dir,max_wind_sp,rain_24h,note
0,03 ก.ย. 65,24.5,32.4,070,13.0,2.4,"เช้า มีฟ้าหลัวชื้น ทัศนวิสัย 6 กม. ลมสงบ
กลางวัน เมฆเต็มท้องฟ้า ทัศนวิสัย 12 กม. ลมสงบ
บ่าย-เย็น เมฆเล็กน้อย ทัศนวิสัย 14 กม. ลมสงบ
ค่ำ-กลางคืน ท้องฟ้าโปร่ง ทัศนวิสัย 10 กม. ลมสงบ"
1,02 ก.ย. 65,23.6,32.9,060,14.8,4.2,"สถานีอุตุนิยมวิทยาเลย   วันที่ 2 กันยายน 2565  00:30-00:30 น.
               เวลา 00:30-08:30 น.=>  อากาศอุ่น ลมกำลังเฉลี่ย 4 นอต  ทิศตะวันออกเฉียงเหนือ  ท้องฟ้ามีเมฆบางส่วน มีปรากฏการณ์ คือ  พายุฟ้าคะนอง=03:40-04:05 น.  พายุฝนฟ้าคะนองเบา/ปานกลาง=04:05-04:20 น.  พายุฟ้าคะนอง=04:20-04:25 น.  ฝนธรรมดาตกเป็นระยะเบา=07:58-08:06 น.  พื้นดินชื้น  ทัศนวิสัยดี   
               เวลา 08:30-16:30 น.=>  อากาศร้อน ลมกำลังเฉลี่ย 3 นอต  ทิศตะวันตกเฉียงเหนือ  ท้องฟ้ามีเมฆบางส่วน มีปรากฏการณ์ คือ  พายุฟ้าคะนอง=12:52-13:18 น.  ฝนธรรมดาตกเป็นระยะเบา=14:12-14:22 น.  พื้นดินเปียก  ทัศนวิสัยดี    
               เวลา 16:30-00:30 น.=>  อากาศค่อนข้างร้อน ลมสงบ  ท้องฟ้าโปร่งมีเมฆเล็กน้อย ไม่มีปรากฏการณ์สำคัญ  พื้นดินชื้น  ทัศนวิสัยดี"
2,01 ก.ย. 65,22.3,34.1,020,13.0,0.6,"ดึก-เช้า เมฆมาก กับมีฟ้าหลัวชื้น ทัศนวิสัย 8-10 กม. ลมสงบ เวลา 02.05-02.30 น. มีฝนธรรมดาตกเล็กน้อย
กลางวัน-บ่าย เมฆบางส่วน ทัศนวิสัยดี 15 กม. ลม นว. ความเร็ว 4-5 นอต 
ค่ำ-กลางคืน เมฆบางส่วน ทัศนวิสัยดี 12-13 กม. ลมสงบ"
3,31 ส.ค. 65,23.3,36.8,350,22.2,0.8,"เช้า มีเมฆเล็กน้อย ทัศนวิสัย 15 กม. ลม นว 3 นอต
กลางวัน เมฆเล็กน้อย ทัศนวิสัย 15 กม. ลม นนว 3 นอต
บ่าย-เย็น เมฆบางส่วน ทัศนวิสัย 15 กม. ลม นนว 3 นอต
ค่ำ-กลางคืน เมฆมาก มีฟ้าแล็ป ทิศ ซ เวลา 17.50-18.45 น. มีฟ้าคะนอง ทิศ ซ เวลา 18.45-19.28 น. 
และมีฝนฟ้าคะนองเวลา 19.28-20.20 น. ทัศนวิสัย 10.0 กม. ลม นนว 6 นอต"
4,30 ส.ค. 65,22.6,34.7,050,11.1,ไม่มีฝน,"สถานีอุตุนิยมวิทยาเลย   วันที่ 30 สิงหาคม 2565  00:30-00:30 น.
               เวลา 00:30-08:30 น.=>  อากาศอุ่น ลมสงบ  ท้องฟ้ามีเมฆบางส่วน มีปรากฏการณ์ คือ   น้ำค้าง=04:00-07:00 น.  ฟ้าหลัวชื้น=05:00-08:00 น.  พื้นดินเปียก  ทัศนวิสัยปานกลาง   
               เวลา 08:30-16:30 น.=>  อากาศร้อน ลมกำลังเฉลี่ย 3 นอต  ทิศเหนือ ลมกำลังเฉลี่ย 2 นอต  ทิศตะวันออกเฉียงเหนือ  ท้องฟ้าแจ่มใส่ ไม่มีปรากฏการณ์สำคัญ  พื้นดินชื้น  ทัศนวิสัยดี    
               เวลา 16:30-00:30 น.=>  อากาศค่อนข้างร้อน ลมกำลังเฉลี่ย 3 นอต  ทิศตะวันออกเฉียงเหนือ  ท้องฟ้าแจ่มใส่ ไม่มีปรากฏการณ์สำคัญ  พื้นดินแห้ง  ทัศนวิสัยดี"
5,29 ส.ค. 65,23.4,33.3,010,31.5,9.0,"ดึก-เช้า ท้องฟ้าโปร่ง กับมีฟ้าหลัวชื้น ทัศนวิสัย 7-10 กม. ลมสงบ
กลางวัน-บ่าย เมฆมาก ทัศนวิสัยดี 13-15 กม. ลมแปรปรวน ความเร็ว 2-6 นอต เวลา 11.00-11.10 น. มีฝนธรรมดาตกเล็กน้อย เวลา 12.10-13.00 น. มีฝนฟ้าคะนอง เวลา 13.20-13.55 น. มีฝนธรรดาตกเล็กน้อย 
ค่ำ-กลางคืน ท้องฟ้าโปร่ง ทัศนวิสัยดี 12-13 กม. ลมสงบ"
6,28 ส.ค. 65,24.0,35.1,070,13.0,ไม่มีฝน,"เช้า มีฟ้าหลัวชื้น ทัศนวิสัย 3 กม. ลมสงบ
กลางวัน เมฆเล็กน้อย ทัศนวิสัย 12 กม. ลม อนอ 2 นอต
บ่าย-เย็น เมฆมาก ทัศนวิสัย 15 กม. ลม อนอ 4 นอต
ค่ำ-กลางคืน เมฆเล็กน้อย ทัศนวิสัย 12 กม. ลมสงบ"
