,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,เชียงราย,30.1,25.2,NE,24.09,16:15,5.6,853.7,2022-07-11,0,1,เชียงราย,48303,Chiang Rai
1,north,เชียงราย สกษ.,30.4,23.4,NE,16.68,16:01,14.0,866.4,2022-07-11,1,1,เชียงราย,48304,
2,north,เชียงใหม่,33.3,23.6,NW,20.39,17:08,2.6,803.7,2022-07-11,2,2,เชียงใหม่,48327,Chiang Mai
3,north,ดอยอ่างขาง,21.5,18.0,E,16.68,22:13,4.0,966.9,2022-07-11,3,2,เชียงใหม่,48302,
4,north,แม่โจ้ สกษ.,,,,,,,,2022-07-11,4,2,เชียงใหม่,48326,
5,north,แม่ฮ่องสอน,33.9,24.3,SE,16.68,16:17,0.1,609.1,2022-07-11,5,3,แม่ฮ่องสอน,48300,Mae Hong Son
6,north,แม่สะเรียง,30.5,23.8,ESE,16.68,13:53,0.8,634.5,2022-07-11,6,3,แม่ฮ่องสอน,48325,
7,north,ตาก,33.1,26.0,W,27.80,15:15,0,393.3,2022-07-11,7,4,ตาก,48376,Tak
8,north,แม่สอด,30.0,22.5,SW,25.95,15:15,3.2,730.4,2022-07-11,8,4,ตาก,48375,
9,north,เขื่อนภูมิพล,34.0,25.6,W,14.83,18:30,0,358.3,2022-07-11,9,4,ตาก,48377,
10,,ดอยมูเซอ สกษ.,,,,,,,,,10,4,ตาก,48387,
11,north,อุ้มผาง,26.3,21.8,NNE,7.41,13:03,7.3,843.5,2022-07-11,11,4,ตาก,48385,
12,north,น่าน,32.8,25.3,SSE,9.27,13:56,0,684.6,2022-07-11,12,5,น่าน,48331,Nan
13,north,น่าน สกษ.,31.4,24.9,ESE,14.83,11:11,0,625.3,2022-07-11,13,5,น่าน,48333,
14,north,ท่าวังผา,32.5,25.0,S,18.53,12:10,4.7,851.3,2022-07-11,14,5,น่าน,48315,
15,north,ทุ่งช้าง,29.0,24.0,SSE,11.12,14:00,8.6,757.7,2022-07-11,15,5,น่าน,48307,
16,north,อุตรดิตถ์,33.9,25.5,,22.24,16:11,0.1,543.1,2022-07-11,16,6,อุตรดิตถ์,48351,Uttaradit
