,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,04 ก.ย. 65 16:00 น.,31.9,23.4,61,1006.63,WSW,9.3,12.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
1,04 ก.ย. 65 13:00 น.,32.0,23.7,61,1007.65,S,11.1,12.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
2,04 ก.ย. 65 10:00 น.,29.6,23.7,71,1011.06,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
3,04 ก.ย. 65 07:00 น.,26.8,24.2,86,1009.69,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
4,04 ก.ย. 65 04:00 น.,27.6,23.5,79,1008.89,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
5,04 ก.ย. 65 01:00 น.,28.1,23.4,76,1009.69,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
6,03 ก.ย. 65 22:00 น.,28.5,23.4,74,1010.56,W,7.4,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
7,03 ก.ย. 65 19:00 น.,29.2,23.4,71,1007.64,ลมสงบ,ลมสงบ,10.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
