,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,04 ก.ย. 65 16:00 น.,22.9,20.9,89,1003.28,ลมสงบ,ลมสงบ,8.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
1,04 ก.ย. 65 13:00 น.,24.2,20.8,82,1004.63,ลมสงบ,ลมสงบ,8.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
2,04 ก.ย. 65 10:00 น.,21.0,20.8,99,1008.53,S,5.6,.10,ไม่มีฝน,
3,04 ก.ย. 65 07:00 น.,19.1,18.9,99,1008.40,SSW,7.4,.10,ไม่มีฝน,
4,04 ก.ย. 65 04:00 น.,19.6,19.4,99,1007.15,S,3.7,.10,ไม่มีฝน,
5,04 ก.ย. 65 01:00 น.,19.0,18.8,99,1008.81,SSE,5.6,.10,ไม่มีฝน,
6,03 ก.ย. 65 22:00 น.,19.5,19.3,99,1008.71,S,3.7,.10,ไม่มีฝน,
7,03 ก.ย. 65 19:00 น.,20.7,20.5,99,1006.54,S,3.7,.10,ไม่มีฝน,
