,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,04 ก.ย. 65 16:00 น.,31.0,22.7,61,1007.18,W,16.7,10.00,ไม่มีฝน,มีเมฆมาก
1,04 ก.ย. 65 13:00 น.,31.3,22.9,61,1008.04,WSW,16.7,10.00,ไม่มีฝน,มีเมฆมาก
2,04 ก.ย. 65 10:00 น.,29.1,22.8,69,1011.04,SSW,13.0,10.00,ฝนเล็กน้อย,มีเมฆมาก
3,04 ก.ย. 65 07:00 น.,26.0,22.9,83,1010.43,SW,11.1,10.00,ไม่มีฝน,มีเมฆมาก
4,04 ก.ย. 65 04:00 น.,25.0,23.4,91,1009.03,WSW,5.6,10.00,ไม่มีฝน,มีเมฆมาก
5,04 ก.ย. 65 01:00 น.,25.6,22.6,84,1009.98,ESE,5.6,10.00,0.6,มีเมฆเต็มท้องฟ้า
6,03 ก.ย. 65 22:00 น.,26.9,21.8,74,1010.91,WSW,16.7,10.00,ไม่มีฝน,มีเมฆมาก
7,03 ก.ย. 65 19:00 น.,28.2,22.4,71,1007.83,WSW,16.7,10.00,ไม่มีฝน,มีเมฆมาก
