,datetime,temp,dew_point,rh,pressure,wind_dir,wind_sp,visibility,rain_3h,cloud
0,04 ก.ย. 65 13:00 น.,31.5,25.1,69,1006.12,ลมสงบ,ลมสงบ,9.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
1,04 ก.ย. 65 10:00 น.,30.0,25.8,78,1008.73,ลมสงบ,ลมสงบ,8.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
2,04 ก.ย. 65 07:00 น.,25.0,24.3,96,1007.27,ลมสงบ,ลมสงบ,8.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
3,04 ก.ย. 65 04:00 น.,25.5,24.8,96,1006.17,ลมสงบ,ลมสงบ,7.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
4,04 ก.ย. 65 01:00 น.,26.5,25.1,92,1006.96,ลมสงบ,ลมสงบ,8.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
5,03 ก.ย. 65 22:00 น.,27.5,26.1,92,1006.69,ลมสงบ,ลมสงบ,8.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
6,03 ก.ย. 65 19:00 น.,30.5,26.3,78,1003.52,ลมสงบ,ลมสงบ,9.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
7,03 ก.ย. 65 16:00 น.,31.7,26.6,74,1003.15,ลมสงบ,ลมสงบ,9.00,ไม่มีฝน,มีเมฆเป็นส่วนมาก
